episode,total_reward
1,-193.0688479722724
2,-507.7973146471736
3,-109.91637841305517
4,-201.93947594791118
5,-210.57290829703493
6,-214.20410807996487
7,-714.0150352477108
8,-388.9515276704369
9,-244.55137462817368
10,-240.15071019149065
11,-231.16050370612314
12,-239.03585415480842
13,-233.54981269308914
14,-246.61770758650798
15,-239.3933042681191
16,-250.92290534422844
17,-294.19492495459997
18,-488.601526522469
19,-405.891172962064
20,-399.1101773416241
21,-409.90988711526745
22,-252.10941169313807
23,-286.37078399760145
24,-445.48291407633945
25,-374.1103225714532
26,-370.1535053726308
27,-413.8623993471489
28,-410.77426595251944
29,-354.9959961007613
30,-235.34802926808726
31,-207.6716663048381
32,-216.14732421288724
33,-213.3646544199948
34,-223.90191059635902
35,-224.80671778572827
36,-218.67932116007404
37,-209.10334652997756
38,-220.33873247561348
39,-219.97716991252494
40,-212.0539290404309
41,-225.76236430226896
42,-218.61164416304476
43,-213.60084423393695
44,-223.9818162317839
45,-217.4287142983144
46,-204.40796268151934
47,-202.83020876313955
48,-207.19920107095348
49,-205.25524315014746
50,-199.34470339775677
51,-203.84371825830502
52,-191.1667142187402
53,-202.5587205370453
54,-209.550364957501
55,-208.63652318879693
56,-198.51984694872078
57,-200.86111036110694
58,-208.09977143206504
59,-201.57251714180964
60,-194.0346708777336
61,-209.78405548418078
62,-201.3937902791946
63,-197.646764245512
64,-194.68106167233205
65,-193.85245164632664
66,-205.51052945917013
67,-205.04874731590954
68,-203.55333453323715
69,-202.6710899645459
70,-208.60802791460338
71,-204.11016828386533
72,-196.295720322368
73,-194.78830795680042
74,-204.17874414555115
75,-199.83913215907003
76,-193.07139252563795
77,-209.83878299146906
78,-203.4569652684524
79,-199.3190216579956
80,-196.6408505162036
81,-205.7791843030406
82,-201.05912717164915
83,-217.6074801080733
84,-218.58725338644496
85,-200.65489282608684
86,-210.03667603588235
87,-213.87987932569553
88,-198.45417131027256
89,-208.0823200637367
90,-202.81435519624338
91,-199.34740452566206
92,-196.878025008587
93,-187.82492491164973
94,-202.8505735374668
95,-201.96474602418806
96,-196.12444791528605
97,-209.01778320423466
98,-209.3379262710564
99,-199.45925674846154
100,-200.89418574174618
101,-205.49717517943049
102,-214.1679701535664
103,-205.66658690867618
104,-203.72077611486998
105,-200.46861446706424
106,-202.36350392432746
107,-200.9688394710582
108,-199.29548788134272
109,-199.26689580241415
110,-204.2051537345145
111,-199.86163186102252
112,-201.15911445986558
113,-211.53739547371802
114,-199.33263017121033
115,-197.68970816216165
116,-196.31453010781763
117,-205.61258026100992
118,-198.25489312955347
119,-202.9666142961933
120,-209.48958568293125
121,-209.15329637159516
122,-208.01915984903684
123,-205.55474769452286
124,-190.065602574409
125,-200.22059144706094
126,-215.26142721413495
127,-196.42906905405238
128,-210.56800193636622
129,-196.73939787634404
130,-195.62969056836465
131,-203.2401260419926
132,-208.95528778573006
133,-201.45734022363553
134,-198.34218710751622
135,-205.83088945067502
136,-195.81926455779467
137,-199.70779216085845
138,-209.1133151013318
139,-203.13088025862203
140,-200.151853996831
141,-197.89537927794674
142,-204.33710698698195
143,-208.9056775418805
144,-197.9630797729783
145,-203.49243231163342
146,-205.6169658807637
147,-204.07562966029693
148,-202.39213061764116
149,-202.45153883072012
150,-207.776721126555
151,-206.62003866732383
152,-202.09163296272843
153,-235.9439467199133
154,-212.5412027310682
155,-208.6349993598592
156,-200.1403457783461
157,-203.05987065056914
158,-194.39206497697103
159,-208.54852476115167
160,-205.6563549886987
161,-207.00040034406632
162,-200.94221943024147
163,-203.45964406864096
