episode,total_reward
1,-1789.3244926691582
2,-1323.33748283623
3,-1147.0293985221163
4,-1367.1677328136584
5,-1309.7358598847272
6,-1309.3183083855345
7,-1293.3779879605763
8,-1313.4885201500024
9,-1333.7891991833317
10,-1196.8259157003404
11,-1232.0953905182887
12,-1229.4394233358755
13,-1151.9230086408509
14,-1044.941849380738
15,-1046.787811562513
16,-1034.9929613795798
17,-1059.7438779929
18,-1068.5176484191372
19,-1117.0744535485417
20,-1111.3904519263388
21,-1165.8594369618024
22,-1182.1095529251943
23,-1116.0066917241002
24,-1122.177600988746
25,-1189.4591316624258
26,-1936.5282594055948
27,-2055.818642005214
28,-2581.1987197103635
29,-3124.6168527270843
30,-2769.9754896842683
31,-1393.824260890492
32,-4522.471708185368
33,-3149.538164632664
34,-2232.173788905412
35,-1315.6545276245056
36,-1117.8138747350692
37,-1127.2773986822044
38,-1126.6312064480192
39,-1252.0351833006262
40,-1258.7267180313509
41,-1126.7523233479155
42,-3846.306846029898
43,-3004.704868218961
44,-2124.4434145056725
45,-2855.9586672322353
46,-1375.6060468521905
47,-1351.9312458872357
48,-2094.4503098173263
49,-1585.640668916062
50,-2478.1105007597107
51,-1700.9177932836967
52,-1579.1534660006537
53,-2074.7485922855017
54,-1231.2033400055243
55,-1349.8173579395395
56,-1760.0812432670205
57,-1304.898641204168
58,-1924.5544368921596
59,-1499.166187089741
60,-1441.8970921591006
61,-1318.0704160388902
62,-1314.239351646224
63,-1354.9448177075892
64,-1134.0994158753845
65,-1441.5716747618308
66,-3081.444515670081
67,-1628.0687508291144
68,-2549.4782127639783
69,-1604.0931105201457
70,-1464.820617865808
71,-1748.4351632842274
72,-1398.9623635003527
73,-1302.831018522682
74,-1450.713078762575
75,-1361.407541255848
76,-1368.0352325754527
77,-1342.4264873020795
78,-1413.3545221573531
79,-1375.3297463024064
80,-1406.7522218784957
81,-1378.6772590308997
82,-1386.6466966459736
83,-1343.2423182849277
84,-1240.5399558760932
85,-1059.4276710952818
86,-1056.2772965859165
87,-1057.779762535071
88,-1054.1175169938788
89,-1053.5260924000304
90,-1044.7816608934957
91,-1039.4376380930066
92,-1052.7965584674898
93,-1045.3350807436348
94,-1052.2232406663275
95,-1062.8611082662228
96,-1185.0536993869237
97,-1338.0739095597082
98,-1268.9858196947318
99,-1255.9466675073036
100,-1254.2346149534305
101,-1302.120075226084
102,-1298.9361208165906
103,-1267.1724617467078
104,-1226.5777908523244
105,-1279.2403521523056
106,-1236.8499052572338
107,-1233.9178413032607
108,-1265.5184538213718
109,-1268.9914294072912
110,-1234.8900456093338
111,-1280.6911120739444
112,-1261.6701562264097
113,-1384.9469572213934
114,-1168.8317422353377
115,-1173.5728498148242
116,-1161.9017139432397
117,-1197.4444263948335
118,-1206.8203504225162
119,-1181.3142705594248
120,-1197.6349882795244
121,-1201.3872825564365
122,-1222.9107476745114
123,-1028.8952757587583
124,-1052.1145136914597
125,-1032.6241722271184
126,-1024.9138315890127
127,-1056.3146788008376
128,-1015.5722001424818
129,-1043.3513250422293
130,-1034.5494158237973
131,-1042.2806526893985
132,-982.4851876665491
133,-1237.6897258560064
134,-4103.092223456564
135,-1975.8746659189862
136,-1792.317443943569
137,-1782.1825153566435
138,-1427.1108742951135
139,-2516.3116504622085
140,-1647.6265442143815
141,-1604.5050107242905
142,-2201.778573857721
143,-1546.9076677877133
144,-1700.7543628405003
145,-1874.1186413144442
146,-2221.037299865215
147,-3943.566339067899
148,-1552.5629895999164
149,-1421.8266485714996
150,-1380.0194638065248
151,-1467.2066544322524
152,-1488.2021296139615
153,-1287.413246244183
154,-3540.422358403299
155,-2696.0064865498307
156,-2714.4350532547724
157,-1263.7474188378137
158,-1296.8642145210008
159,-6867.414830749505
160,-2012.9821264684867
161,-1792.6515288638998
162,-1139.6144473125296
163,-1199.1885041585306
164,-1219.684040993809
165,-1224.5025459352437
166,-1280.37140263939
167,-1341.9089974029648
168,-1294.8593788633643
169,-1254.0181788296989
170,-1196.840723910835
171,-1214.9861019741845
172,-1166.7549627473952
173,-1204.1685695208573
174,-1150.0799989822076
175,-4217.728244405461
176,-1995.8676083474631
177,-4596.065677529245
178,-1234.6083207595657
179,-1403.471216928454
180,-1364.2361113201184
