episode,total_reward
1,-1651.109899520874
2,-2191.3905930519104
3,-990.5889854431152
4,-1062.6622958183289
5,-1043.5112471580505
6,-1049.0329756736755
7,-1085.2640781402588
8,-1046.9831023216248
9,-1048.2424511909485
10,-1020.8631820678711
11,-1075.9366722106934
12,-1057.277940273285
13,-1087.9912934303284
14,-1058.1033062934875
15,-1045.8361563682556
16,-1068.127820968628
17,-1066.7985587120056
18,-1050.97323179245
19,-1035.2190680503845
20,-1101.407112121582
21,-1058.9184494018555
22,-1037.9736804962158
23,-1046.6278314590454
24,-1052.4513792991638
25,-1098.4917821884155
26,-1065.2421097755432
27,-1044.4354796409607
28,-1075.3832488059998
29,-1031.1099038124084
30,-1049.1497144699097
31,-1039.1561517715454
32,-1049.3286318778992
33,-1070.7267417907715
34,-1059.4894580841064
35,-1040.754810810089
36,-1043.9430451393127
37,-1077.7218613624573
38,-1054.270133972168
39,-1072.039381980896
40,-1023.4164628982544
41,-1033.265398979187
42,-1109.1584358215332
43,-1031.2256722450256
44,-1049.4085516929626
45,-1046.190875530243
46,-1052.2435655593872
47,-1040.1265664100647
48,-1020.8387994766235
49,-1060.4629549980164
50,-1030.8161554336548
51,-1074.8107385635376
52,-1037.1342754364014
53,-1062.8152689933777
54,-1034.3770966529846
55,-1061.941466331482
56,-1045.830403804779
57,-1031.2210474014282
58,-1033.76855134964
59,-1067.0516138076782
60,-1073.620002746582
61,-1044.1755361557007
62,-1044.0953097343445
63,-1032.303499698639
64,-1070.751455783844
65,-1052.3501591682434
66,-1078.2942700386047
67,-1035.4769110679626
68,-1057.40833902359
69,-1054.8710861206055
70,-1039.9951405525208
71,-1049.7124772071838
72,-1030.0959300994873
73,-1056.1562943458557
74,-1058.8077473640442
75,-1059.8331370353699
76,-1080.9959020614624
77,-1059.3351316452026
78,-1032.9426493644714
79,-1059.0785183906555
80,-1046.5321106910706
81,-1046.38831615448
82,-1046.6641325950623
83,-1037.9261860847473
84,-1082.6432271003723
85,-1047.1844472885132
86,-1086.5493559837341
87,-1059.6105217933655
88,-1062.986529827118
89,-1083.1035466194153
90,-1068.0459804534912
91,-1057.5508289337158
92,-1055.3244605064392
93,-1670.5291059613228
94,-1139.3190927505493
95,-1286.586106300354
96,-1277.574047088623
97,-1288.3653330802917
98,-1128.5669994354248
99,-780.0528826713562
100,-2176.6039516329765
101,-1102.7967014312744
102,-1053.2236213684082
103,-1057.411521434784
104,-1077.5314636230469
105,-1053.5558943748474
106,-1091.3784937858582
107,-1002.8873057365417
108,-1044.468653678894
109,-1016.1211881637573
110,-1078.1154370307922
111,-1085.9550080299377
112,-1062.6102681159973
113,-1050.125057220459
114,-1070.328589439392
115,-1042.6889300346375
116,-1108.7216849327087
117,-1025.956524848938
118,-1034.262981891632
119,-1048.9381184577942
120,-1036.2393126487732
121,-1040.2567133903503
122,-1111.576268196106
123,-1053.4787168502808
124,-1037.2343912124634
125,-1060.569944858551
126,-1236.4761028289795
127,-1088.1552829742432
128,-1063.748984336853
129,-1195.3912897109985
130,-1084.046525478363
131,-1202.9670023918152
132,-1256.3755054473877
133,-1148.3477492332458
134,-1131.5264902114868
135,-1095.9700107574463
136,-2739.4791693091393
137,-2184.4940299987793
138,-2185.950083255768
139,-2195.9774436950684
140,-2191.849922180176
141,-2180.853308200836
142,-2332.4859731197357
143,-2598.7195155620575
144,-1987.4253976345062
145,-2551.912963271141
146,-2585.529003739357
147,-2632.930202960968
148,-2580.9502898454666
149,-2625.453757941723
150,-2542.4002677202225
151,-2176.300760746002
152,-2560.793569087982
153,-2582.9671706557274
154,-2151.5558490753174
155,-1415.9063284993172
156,-2466.7454956769943
157,-2513.0607597231865
158,-2173.49311876297
159,-2495.153141975403
160,-2585.2911715507507
161,-2483.350763440132
162,-2173.504463195801
163,-2181.025411605835
164,-2190.749482154846
165,-2179.3173489570618
166,-2182.010980606079
167,-2178.6816444396973
168,-2180.7792358398438
169,-2183.362129688263
170,-2183.5526790618896
171,-2198.7961707115173
172,-2201.597604751587
173,-2183.8735961914063
174,-2181.658802509308
175,-2180.9129872322083
176,-2182.4948229789734
177,-2200.7803559303284
178,-2186.5793800354004
179,-2201.2220821380615
180,-2184.014233112335
181,-2186.4158787727356
182,-2189.3441591262817
183,-2185.7830214500427
184,-2190.840000152588
185,-2187.4140100479126
186,-2191.2728142738342
187,-2189.970998764038
188,-2156.8252635002136
189,-2186.8635931015015
190,-2201.5474667549133
191,-2202.246084213257
192,-2187.2589087486267
193,-2185.251465320587
194,-2182.9872422218323
195,-2201.053096294403
196,-2200.08359003067
197,-2200.0944271087646
198,-2204.245394706726
199,-2174.1378693580627
200,-2178.444230079651
201,-2186.8995571136475
202,-2153.84885263443
203,-2460.1741495132446
204,-2184.6909823417664
205,-2190.422112464905
206,-2421.325143933296
207,-2173.562746524811
208,-2280.1983602046967
209,-1805.3477396965027
210,-2169.1191296577454
211,-2452.8631439208984
212,-2189.7356944084167
213,-2182.8087182044983
214,-2171.510850906372
215,-2169.377764225006
216,-2152.9643425941467
217,-2602.630820631981
218,-2281.084492146969
219,-2108.038731098175
220,-2327.218779563904
221,-2287.775903224945
222,-2157.83500957489
223,-2163.2163825035095
224,-2173.5515928268433
225,-2168.053862094879
226,-2186.818367958069
227,-2484.6065824627876
228,-2180.496873855591
229,-2175.523633480072
230,-2165.0851125717163
231,-2547.445974588394
232,-2576.648792386055
233,-2404.1762710809708
234,-2413.7758902311325
235,-2164.9701590538025
236,-2036.2766871452332
237,-2145.4290623664856
238,-2181.791403770447
239,-2163.414494037628
240,-2155.682153701782
241,-2019.533538222313
242,-2176.910873413086
243,-2179.6283707618713
244,-2600.5228362083435
245,-2176.3286094665527
246,-2187.1244492530823
247,-2188.2199544906616
248,-2188.95454454422
249,-2189.45175409317
250,-2187.8612060546875
251,-2165.711305618286
252,-2182.0976066589355
253,-2148.1608352661133
254,-2174.1431760787964
255,-2411.6759296655655
256,-2168.6370759010315
257,-2169.146334171295
258,-2164.3297123908997
259,-2629.1543405652046
260,-2540.0162818431854
261,-2725.541990876198
262,-2763.6829030513763
263,-2206.3856258392334
264,-2278.254768073559
265,-2348.965491771698
266,-1065.9218764305115
267,-1069.7076926231384
268,-827.0349860191345
269,-1483.6391558647156
270,-876.3138298988342
271,-724.3214082717896
272,-1190.6693477630615
273,-2443.824330806732
274,-2591.640165746212
275,-2657.8372708559036
276,-2672.3959363102913
277,-2676.1792934536934
278,-2451.7008449435234
279,-2695.397513985634
280,-2552.939256310463
281,-2609.976236343384
282,-2129.0373225212097
283,-2142.125576019287
284,-2163.3506236076355
285,-2146.331431865692
286,-2160.82653093338
287,-2152.176393508911
288,-2155.0118713378906
289,-2158.428675174713
290,-2155.1257576942444
291,-2576.977111876011
292,-2743.483726799488
293,-2743.056429564953
294,-2727.1241862773895
295,-2702.575056552887
296,-2643.6960892677307
297,-2335.0961832404137
298,-2606.949515759945
299,-1386.9626693725586
300,-2311.510207772255
301,-2463.2790486216545
302,-1349.9406361579895
303,-2047.77733618021
304,-1711.0511989593506
305,-2166.41104888916
306,-2293.9421842098236
307,-2145.69885969162
308,-1142.0643301010132
309,-1062.399507522583
310,-1201.1541152000427
311,-1218.0848097801208
312,-1301.0177817344666
313,-1940.4739089012146
314,-2193.6823465824127
315,-2408.4409502744675
316,-2275.222611486912
317,-2299.1830048561096
318,-2221.2497443556786
319,-2462.0936584472656
320,-2173.0620079040527
321,-2399.526708304882
322,-1984.4086046218872
323,-2369.320669770241
324,-2193.4078636169434
325,-2415.8477301597595
326,-2170.4388127326965
327,-2707.749559223652
328,-2718.9179151058197
329,-2306.766232788563
330,-2709.281733453274
331,-2699.4778110980988
332,-2700.1343452334404
333,-2357.9087538719177
334,-2748.6793652772903
335,-2410.0155357718468
336,-2528.552961409092
337,-2173.6434779167175
338,-2265.8949276208878
339,-2733.663964807987
340,-2423.2144612669945
341,-2044.952988743782
342,-2486.268478512764
343,-2366.6902474164963
344,-2141.62526512146
345,-2285.2323865890503
346,-2597.2157968878746
347,-2513.741146206856
348,-2352.5070732831955
349,-2462.5293959379196
350,-2310.0446581840515
351,-2614.988675057888
352,-2306.8587412834167
353,-2688.434455871582
354,-2637.7632724046707
355,-2292.9834649562836
356,-2555.434193432331
357,-2609.702626824379
358,-2500.505856215954
359,-2603.8054688572884
360,-2187.8825330734253
361,-2184.4890098571777
362,-2239.1315739154816
363,-2386.9519670009613
364,-2191.166883468628
365,-2269.8709705471992
366,-2515.5911378264427
367,-2472.3403472304344
368,-2517.017478585243
369,-2283.0585292577744
370,-1650.3974163532257
371,-2601.1339170336723
372,-2193.529556274414
373,-2322.037245452404
374,-2179.925826072693
375,-2389.947149336338
376,-2214.5007504224777
377,-2105.5544173121452
378,-2615.997085750103
379,-2520.8195779919624
380,-2581.449196398258
381,-2520.4667919278145
382,-2506.4130614995956
383,-2485.3696473538876
384,-2452.8610120415688
385,-1149.7489714622498
386,-2335.681892514229
387,-1972.1524031162262
388,-2432.736979365349
389,-2647.5245814323425
390,-2338.428567945957
391,-2135.529724597931
392,-2188.1138410568237
393,-2156.980896472931
394,-2175.042176246643
395,-2149.998595714569
396,-2178.3424191474915
397,-2155.1887011528015
398,-2150.5631275177
399,-2116.3899290561676
400,-2147.8290404081345
401,-2101.388939857483
402,-2071.2062969207764
403,-2168.19598531723
404,-2161.7826437950134
405,-2383.824870288372
406,-2429.549174308777
407,-2700.297011703253
408,-2410.7876403927803
409,-2125.200675010681
410,-2238.263312101364
411,-2472.501794755459
412,-2318.55872040987
413,-2589.13185352087
414,-2269.6896139979362
415,-2357.9481719732285
416,-1532.8116981983185
417,-1644.826434969902
418,-1068.0112581253052
419,-1039.3751163482666
420,-2554.3139072060585
421,-1052.7334299087524
422,-1833.9868545532227
423,-2452.4980216026306
424,-1077.8016991615295
425,-1175.7862286567688
426,-2552.894686937332
427,-1959.1913285851479
428,-2578.3066554665565
429,-1081.2044982910156
430,-2560.1890716552734
431,-1240.3700394630432
432,-1039.5799918174744
433,-1057.2256774902344
434,-1072.1022753715515
435,-1082.2393636703491
436,-2253.181612789631
437,-2641.8404978513718
438,-2569.0550807118416
439,-2647.999749183655
440,-2644.2595131993294
441,-2442.716486811638
442,-2264.266749382019
443,-2640.9062235951424
444,-2665.7958203554153
445,-2659.716884315014
446,-2685.811258494854
447,-1491.394280910492
448,-2614.495301783085
449,-2631.6200470924377
450,-2535.6744869351387
451,-1640.3047561645508
452,-2408.8267747163773
453,-2716.4344720244408
454,-2688.5845505595207
455,-2649.3264744877815
456,-2159.5253863334656
457,-2179.2667095959187
458,-2158.6409454345703
459,-2668.3152054548264
460,-2650.668792128563
461,-1601.4779405593872
462,-2160.3592162132263
463,-2159.460994720459
464,-2179.5298476219177
465,-2169.822033882141
466,-2159.511968612671
467,-2160.5520153045654
468,-2175.082477092743
469,-2169.353419780731
470,-2177.1410784721375
471,-2178.6427793502808
472,-2174.9763793945313
473,-2164.620327949524
474,-2155.7147059440613
475,-2159.5408630371094
476,-2186.33374530077
477,-2392.5193975269794
478,-2724.904577076435
479,-2738.893875658512
480,-2751.328496694565
481,-2757.5839760303497
482,-2410.5482012033463
483,-2523.4230521917343
484,-2183.999921798706
485,-2157.705671310425
486,-2147.006862640381
487,-2538.0723924040794
488,-2672.81431093812
489,-2722.5434549450874
490,-2738.6148483753204
491,-2731.974964618683
492,-2731.3460621237755
493,-2300.1797239780426
494,-844.2911324501038
495,-1069.002597808838
496,-906.2489919662476
497,-2178.5075154304504
498,-2158.5270891189575
499,-1874.547390460968
500,-2292.01797413826
501,-2191.349771499634
502,-2190.9051384925842
503,-2173.2648181915283
